VistID,Time_Spent,Age,Avg_Income,Internet_Usage,Ad_Topic,Country_Name,City_Name,Sex,Time_Period,Weekday,Month,Year,Clicked
8794833,78.54,35,72707.87,232.68,product_25,Algeria,Lake David,F,Night,Wednesday,April,2020,0
6898845,57.86,30,18819.34,166.86,product_18,Algeria,Estesfurt,F,Evening,Friday,July,2020,1
2251088,82.37,33,69476.42,249.99,product_5,Algeria,Lake David,F,Night,Monday,April,2020,0
7627455,39.86,36,32593.59,145.85,product_8,Algeria,Josephstad,F,Evening,Sunday,June,2020,1
9918135,63.11,22,75535.14,201.15,product_19,Algeria,Lake Danielle,M,Morning,Friday,February,2020,0
8830051,38.91,42,36782,167.07,product_4,Algeria,Lake David,M,Early-Morning,Thursday,February,2020,1
8203144,38.37,23,62791,105.94,product_13,Algeria,Josephstad,M,Noon,Wednesday,May,2020,1
9879940,64.51,48,60637.62,192.5,product_20,Algeria,Lake David,M,Night,Thursday,July,2020,0
1442518,81.25,21,46557.92,192.81,product_14,Algeria,New Maria,F,Mid-Night,Thursday,June,2020,1
5087350,68.82,39,69438.04,209.64,product_30,Algeria,New Sonialand,M,Night,Sunday,February,2020,0
8380966,50.87,24,66281,127.83,product_14,Algeria,Lake David,M,Noon,Tuesday,March,2020,1
7130347,74.54,45,52691.79,224.82,product_19,Algeria,New Sonialand,F,Morning,Wednesday,June,2020,0
7510335,57.76,37,56367,124.54,product_1,Algeria,Josephstad,F,Evening,Wednesday,January,2020,1
2841913,83.16,26,55901.12,210.27,product_13,Algeria,Estesfurt,M,Morning,Saturday,July,2020,0
6015755,78.84,19,59785.94,227.72,product_15,Algeria,New Maria,F,Noon,Sunday,April,2020,0
1961035,70.58,26,56694.12,136.94,product_10,Algeria,Lake David,F,Morning,Friday,February,2020,1
3084460,53.14,34,51600,118.16,product_23,Algeria,Josephstad,M,Noon,Monday,March,2020,1
8523595,57.2,56,24079,129.23,product_24,Algeria,New Sonialand,F,Morning,Thursday,April,2020,1
2792595,74.54,22,48918.55,256.4,product_5,American Samoa,Lake Kevin,M,Evening,Sunday,May,2020,0
5602279,67.58,30,65620.25,190.25,product_16,American Samoa,South Aaron,F,Morning,Sunday,April,2020,0
5710417,66.03,22,59422.47,217.37,product_11,American Samoa,Ashleymouth,F,Night,Tuesday,May,2020,0
2205779,78.58,44,69476.42,183.85,product_26,American Samoa,Timothyport,M,Mid-Night,Saturday,June,2020,0
9310457,39.76,54,36752,160.74,product_21,American Samoa,Bethburgh,F,Noon,Friday,May,2020,1
7376075,82.79,34,47997.75,132.08,product_27,American Samoa,South Aaron,F,Mid-Night,Monday,February,2020,1
3943873,79.52,51,55479.62,238.63,product_14,American Samoa,Lake Kevin,M,Noon,Sunday,July,2020,0
2550240,90.75,33,77871.75,198.32,product_17,American Samoa,Bethburgh,F,Mid-Night,Sunday,June,2020,0
5047415,43.49,26,47339,127.26,product_4,American Samoa,Lake Kevin,F,Morning,Monday,January,2020,1
1082330,75.94,50,69285.69,221.94,product_24,American Samoa,Bethburgh,F,Mid-Night,Monday,July,2020,0
5597149,78.67,45,64188.5,196.71,product_11,American Samoa,Bethburgh,F,Night,Friday,March,2020,0
2071675,74.41,44,60315.19,236.72,product_5,American Samoa,South Aaron,F,Morning,Sunday,April,2020,0
6866023,84.53,59,51637,121.28,product_27,American Samoa,Lake Kevin,F,Evening,Wednesday,March,2020,1
5601356,75.8,23,52079.18,200.28,product_28,American Samoa,Bethburgh,M,Evening,Friday,April,2020,0
7572958,47.51,51,53700.57,130.41,product_24,American Samoa,Bethburgh,M,Mid-Night,Saturday,May,2020,1
3891171,80.55,40,65461.92,215.93,product_27,American Samoa,South Aaron,M,Noon,Friday,February,2020,0
9366419,87.23,29,51015.11,202.12,product_7,American Samoa,Lake Kevin,F,Evening,Saturday,March,2020,0
9688835,44.46,47,53817,156.11,product_10,American Samoa,Bethburgh,F,Noon,Sunday,June,2020,1
8536305,74.06,45,74430.08,198.72,product_8,American Samoa,Timothyport,M,Mid-Night,Wednesday,February,2020,0
1784871,72.94,49,58037.66,192.57,product_4,American Samoa,Lake Kevin,M,Noon,Thursday,April,2020,0
3895615,87.23,34,66636.84,206.98,product_28,American Samoa,Ashleymouth,F,Early-Morning,Sunday,July,2020,0
6521166,35.49,48,43974.49,159.77,product_29,American Samoa,Timothyport,F,Noon,Friday,April,2020,1
2182680,81.05,51,65883.39,213.7,product_10,American Samoa,Bethburgh,F,Noon,Sunday,May,2020,0
5552136,36.91,26,26131,111.02,product_7,American Samoa,Timothyport,F,Night,Sunday,May,2020,1
9998296,37.32,59,51870,127.65,product_16,American Samoa,Lake Kevin,M,Noon,Wednesday,January,2020,1
7571682,83.67,42,67132.46,177.78,product_15,American Samoa,Lake Kevin,M,Night,Tuesday,July,2020,0
7853310,64.79,33,50086,154.77,product_9,American Samoa,Lake Kevin,M,Early-Morning,Monday,June,2020,1
5256992,77.35,22,75535.14,222.75,product_18,American Samoa,Ashleymouth,M,Evening,Monday,March,2020,0
6419658,34.86,60,54325,154.97,product_1,Andorra,Courtneyfort,M,Evening,Sunday,April,2020,1
6212945,53.33,34,44275.13,111.63,product_27,Andorra,Courtneyfort,M,Early-Morning,Monday,March,2020,1
7300724,58.95,19,57668,138.87,product_6,Andorra,Jacksonstad,M,Morning,Thursday,March,2020,1
2024425,37.68,30,51900,144.62,product_17,Andorra,Jacksonstad,F,Mid-Night,Saturday,January,2020,1
2647761,62.31,33,60813,133.42,product_3,Andorra,Courtneyfort,F,Mid-Night,Saturday,May,2020,1
1301408,69.9,38,37335,119.03,product_3,Andorra,Jacksonstad,M,Morning,Saturday,January,2020,1
2613723,63.45,51,59240,139.42,product_22,Andorra,Courtneyfort,F,Morning,Sunday,May,2020,1
7343104,45.08,36,41630,269.96,product_18,Andorra,Courtneyfort,M,Morning,Wednesday,March,2020,1
8524808,70.66,60,50055,110.25,product_15,Andorra,Jacksonstad,M,Morning,Thursday,June,2020,1
5290594,68.6,60,39132,118.27,product_25,Andorra,Jacksonstad,M,Evening,Thursday,May,2020,1
6597949,42.94,57,50960,200.23,product_5,Andorra,Courtneyfort,M,Morning,Saturday,June,2020,1
5270630,46.28,26,50055.33,228.78,product_5,Andorra,Jacksonstad,M,Night,Monday,April,2020,1
3318369,46.66,37,58183,136.85,product_6,Andorra,Jacksonstad,F,Early-Morning,Saturday,April,2020,1
7859084,62.95,39,43314,144.53,product_6,Andorra,Courtneyfort,F,Noon,Thursday,May,2020,1
7420114,81.51,33,56735.83,225.34,product_10,Angola,Morganfort,F,Mid-Night,Wednesday,June,2020,0
1109090,88.85,39,74180.05,231.54,product_7,Angola,New Sean,M,Evening,Saturday,January,2020,0
1348598,85.86,28,67307.43,249.54,product_20,Angola,Morganfort,F,Morning,Saturday,July,2020,1
6198090,40.34,28,68520,154.02,product_5,Angola,West Michaelhaven,F,Noon,Thursday,April,2020,1
6813330,50.33,36,21645,110.68,product_9,Angola,West Michaelhaven,M,Noon,Friday,May,2020,1
4615955,72.01,31,57756.89,251,product_7,Angola,West Michaelhaven,F,Noon,Monday,February,2020,0
4231763,62.14,41,59397.89,110.93,product_28,Angola,North Andrewstad,M,Evening,Saturday,January,2020,1
8014983,54.37,30,65963,144.69,product_21,Angola,West Michaelhaven,M,Mid-Night,Thursday,May,2020,1
5207790,87.29,51,53431.35,210.27,product_28,Angola,Morganfort,M,Morning,Thursday,June,2020,0
6989865,41.7,37,47998,153.69,product_7,Angola,West Michaelhaven,M,Noon,Sunday,February,2020,1
8834190,78.57,32,60188.38,211.38,product_10,Angola,New Sean,F,Mid-Night,Monday,May,2020,0
3575688,83.47,42,70449.04,231.21,product_13,Angola,New Sean,F,Morning,Sunday,February,2020,0
3535392,61.76,59,56243,119.93,product_16,Angola,West Michaelhaven,F,Mid-Night,Monday,July,2020,1
5443009,76.44,34,66359.32,226.64,product_19,Angola,New Sean,F,Morning,Thursday,July,2020,0
9058345,81.29,38,56735.83,211.12,product_1,Angola,New Sean,M,Evening,Thursday,July,2020,0
5062757,74.61,44,65883.39,223.2,product_28,Angola,West Michaelhaven,M,Mid-Night,Monday,May,2020,0
7173614,39.34,27,27241,126.97,product_30,Angola,West Michaelhaven,M,Noon,Thursday,June,2020,1
7411312,86.38,36,64267.88,198.45,product_30,Angola,New Sean,F,Noon,Wednesday,May,2020,0
5243493,33.33,45,56370,134.42,product_30,Angola,West Michaelhaven,M,Early-Morning,Tuesday,February,2020,1
6191503,77.69,22,48852.58,169.88,product_23,Angola,Morganfort,M,Noon,Tuesday,June,2020,0
9110223,83.97,45,51975.41,170.9,product_20,Angola,New Sean,M,Noon,Wednesday,June,2020,0
9443420,78.74,32,61608.23,204.79,product_14,Angola,West Michaelhaven,M,Mid-Night,Saturday,March,2020,0
4126519,41.18,23,30726,118.45,product_13,Angola,West Michaelhaven,M,Early-Morning,Wednesday,February,2020,1
9634614,72.53,27,71296.67,202.77,product_25,Angola,North Andrewstad,F,Night,Monday,May,2020,0
6327521,76.24,38,66107.84,225.23,product_5,Angola,North Andrewstad,M,Night,Monday,April,2020,0
4947650,79.4,35,61389.5,190.75,product_16,Angola,Morganfort,F,Mid-Night,Wednesday,May,2020,0
7595391,53.3,31,41229,119.93,product_26,Angola,West Michaelhaven,F,Evening,Monday,May,2020,1
8817901,46.13,34,49743,132.63,product_22,Angola,West Michaelhaven,F,Mid-Night,Tuesday,February,2020,1
4674637,47.53,19,47575,154,product_1,Angola,West Michaelhaven,M,Mid-Night,Saturday,January,2020,1
1714243,32.84,46,41521,231.87,product_26,Angola,West Michaelhaven,F,Mid-Night,Sunday,February,2020,1
7912432,72.01,35,58820.16,182.84,product_9,Angola,Morganfort,M,Evening,Monday,February,2020,0
9890608,73.04,23,62667.51,249.45,product_7,Angola,West Michaelhaven,M,Morning,Monday,April,2020,0
6248754,84.25,32,63936.5,170.9,product_11,Angola,New Sean,M,Early-Morning,Sunday,April,2020,0
2348333,84.08,46,70185.06,225,product_13,Angola,Morganfort,F,Mid-Night,Monday,January,2020,0
5265308,55.55,22,47139.21,226.45,product_27,Angola,Morganfort,M,Noon,Monday,January,2020,0
5578680,52.7,26,49283,140.83,product_1,Anguilla,Greghaven,M,Early-Morning,Tuesday,January,2020,1
7623664,76.59,24,66699.12,212.92,product_16,Anguilla,North Jonathan,F,Noon,Thursday,February,2020,0
2887182,77.6,24,58151.87,197.33,product_17,Anguilla,Greghaven,M,Noon,Thursday,May,2020,0
7102517,40.17,51,76561,123.72,product_19,Anguilla,Greghaven,F,Early-Morning,Monday,May,2020,1
3406173,79.54,23,53852.85,204.82,product_27,Anguilla,Princebury,M,Night,Thursday,January,2020,0
2958978,83.42,37,70575.6,230.36,product_20,Anguilla,Port Jacquelinestad,M,Mid-Night,Tuesday,February,2020,0
1799395,56.34,50,68713.7,139.02,product_2,Anguilla,Port Michealburgh,M,Night,Thursday,March,2020,1
4225850,51.95,29,58847,127.2,product_20,Anguilla,New Rebecca,F,Night,Sunday,July,2020,1
6461619,87.46,47,68783.45,207.44,product_16,Anguilla,Greghaven,M,Early-Morning,Monday,July,2020,0
7347327,70.9,43,38609.2,226.45,product_8,Anguilla,New Rebecca,F,Mid-Night,Saturday,May,2020,0
3297180,80.99,53,62772.42,226.11,product_15,Anguilla,Port Jacquelinestad,F,Morning,Friday,March,2020,0
2515737,54.35,26,60638.38,187.36,product_14,Anguilla,Port Jacquelinestad,M,Morning,Saturday,July,2020,0
6343875,82.37,30,53049.44,239.32,product_18,Anguilla,Princebury,F,Night,Friday,April,2020,0
5631752,76.79,36,58363.12,202.16,product_24,Anguilla,Port Michealburgh,F,Mid-Night,Sunday,May,2020,0
7133481,45.01,52,67431,161.77,product_22,Anguilla,Port Michealburgh,F,Evening,Tuesday,June,2020,1
2113175,65.07,34,73941.91,227.53,product_3,Anguilla,Princebury,M,Mid-Night,Friday,March,2020,0
4921067,72.8,50,64395.85,224.92,product_22,Anguilla,North Jonathan,F,Night,Tuesday,April,2020,0
5547372,69.9,47,21645,136.4,product_15,Anguilla,New Rebecca,M,Early-Morning,Monday,January,2020,1
8022073,86.69,29,69758.31,207.17,product_27,Anguilla,Port Michealburgh,M,Night,Wednesday,March,2020,0
3897856,41.47,54,46694,116.38,product_5,Anguilla,Port Michealburgh,M,Evening,Friday,July,2020,1
8136362,82.49,30,34191,154.93,product_28,Anguilla,Port Michealburgh,F,Noon,Sunday,February,2020,1
4616005,83.16,50,55424.24,250.2,product_10,Anguilla,North Jonathan,F,Night,Saturday,April,2020,0
4843615,36.87,36,29398.61,195.91,product_16,Anguilla,New Rebecca,F,Noon,Thursday,January,2020,1
3671935,69.57,24,65857,160.74,product_6,Anguilla,Port Michealburgh,F,Early-Morning,Friday,February,2020,1
5051643,70.68,50,59967.19,191.14,product_8,Anguilla,Princebury,F,Noon,Tuesday,January,2020,0
1326069,74.06,50,60938.73,246.29,product_19,Anguilla,Port Jacquelinestad,M,Morning,Friday,June,2020,0
1765412,69.78,46,62772.42,209.82,product_10,Anguilla,Greghaven,M,Early-Morning,Tuesday,March,2020,0
7297798,35.11,35,47638.3,158.03,product_29,Anguilla,North Jonathan,M,Noon,Friday,March,2020,1
9176781,55.13,60,54645,149.67,product_12,Antarctica (the territory South of 60 deg S),New Theresa,M,Night,Thursday,April,2020,1
4929128,55.6,57,57877,158.35,product_10,Antarctica (the territory South of 60 deg S),East John,M,Noon,Saturday,June,2020,1
5002684,73.89,38,69428.73,249.81,product_24,Antarctica (the territory South of 60 deg S),Kennedyfurt,F,Evening,Sunday,February,2020,0
9835569,65.56,27,61117.5,221.98,product_8,Antarctica (the territory South of 60 deg S),Kennedyfurt,F,Morning,Sunday,March,2020,0
2611547,43.67,31,25686.34,166.29,product_18,Antarctica (the territory South of 60 deg S),New Theresa,M,Early-Morning,Sunday,February,2020,1
1303502,83.07,34,41768.13,231.91,product_2,Antarctica (the territory South of 60 deg S),Kennedyfurt,F,Evening,Friday,July,2020,1
5235301,74.27,47,63373.7,212.56,product_13,Antarctica (the territory South of 60 deg S),East John,M,Mid-Night,Sunday,February,2020,0
8640418,56.46,51,50672,158.8,product_18,Antarctica (the territory South of 60 deg S),New Theresa,M,Night,Saturday,April,2020,1
9193305,53.3,25,41060,123.24,product_10,Antarctica (the territory South of 60 deg S),New Theresa,F,Noon,Thursday,July,2020,1
4649476,34.78,34,49159,115.91,product_9,Antarctica (the territory South of 60 deg S),New Theresa,F,Evening,Friday,March,2020,1
2022398,75.74,20,55479.62,252.07,product_23,Antarctica (the territory South of 60 deg S),East John,F,Evening,Wednesday,February,2020,0
7813521,43.97,24,49823,172.57,product_29,Antarctica (the territory South of 60 deg S),New Theresa,F,Morning,Thursday,April,2020,1
9798394,89.91,50,63430.33,199.39,product_24,Antarctica (the territory South of 60 deg S),New Theresa,F,Night,Tuesday,January,2020,0
5407330,89.66,42,65280.16,216.49,product_20,Antarctica (the territory South of 60 deg S),Kennedyfurt,F,Morning,Tuesday,January,2020,0
7074889,84.08,36,47139.21,209.72,product_19,Antarctica (the territory South of 60 deg S),East John,F,Night,Friday,January,2020,0
6532103,38.37,36,41229.16,140.46,product_2,Antarctica (the territory South of 60 deg S),East John,F,Early-Morning,Friday,May,2020,1
1723717,69.86,43,77567.85,196.76,product_9,Antarctica (the territory South of 60 deg S),East John,F,Morning,Thursday,June,2020,0
8811118,34.96,58,31088,140.15,product_21,Antarctica (the territory South of 60 deg S),New Theresa,M,Noon,Thursday,April,2020,1
6020182,75.81,53,46403.18,182.84,product_2,Antarctica (the territory South of 60 deg S),East John,M,Mid-Night,Wednesday,January,2020,0
5846725,77.5,28,60997.84,225.34,product_26,Antarctica (the territory South of 60 deg S),Kennedyfurt,M,Noon,Wednesday,July,2020,0
4701835,85.4,34,64654.66,213.7,product_24,Antarctica (the territory South of 60 deg S),Kennedyfurt,F,Evening,Saturday,June,2020,0
8766030,73.88,38,75769.82,221.59,product_21,Antarctica (the territory South of 60 deg S),Kennedyfurt,M,Mid-Night,Sunday,February,2020,0
5736782,79.83,38,76984.21,205.71,product_4,Antarctica (the territory South of 60 deg S),New Theresa,M,Night,Friday,January,2020,0
6409725,86.81,53,67279.06,180.88,product_10,Antarctica (the territory South of 60 deg S),Kennedyfurt,F,Early-Morning,Tuesday,April,2020,0
4241592,76.07,25,50711.68,201.58,product_4,Antarctica (the territory South of 60 deg S),New Theresa,F,Noon,Monday,June,2020,0
4374434,87.14,43,57032.36,223.03,product_6,Antarctica (the territory South of 60 deg S),New Theresa,F,Morning,Tuesday,May,2020,0
7265391,76.44,27,69874.18,195.93,product_18,Antarctica (the territory South of 60 deg S),Kennedyfurt,F,Noon,Saturday,June,2020,0
7813485,70.13,37,68033.54,248.23,product_8,Antarctica (the territory South of 60 deg S),East John,M,Mid-Night,Monday,February,2020,0
1941004,35.11,52,50335,154.74,product_12,Antarctica (the territory South of 60 deg S),New Theresa,M,Early-Morning,Thursday,April,2020,1
3303798,85.01,29,66744.65,187.03,product_11,Antarctica (the territory South of 60 deg S),East John,M,Evening,Sunday,January,2020,0
8337559,74.58,26,63429.18,216.57,product_18,Antarctica (the territory South of 60 deg S),East John,F,Evening,Sunday,April,2020,0
2355613,64.79,34,43882,145.96,product_13,Antarctica (the territory South of 60 deg S),New Theresa,F,Mid-Night,Tuesday,May,2020,1
4676685,69.95,47,73889.99,198.72,product_5,Antarctica (the territory South of 60 deg S),East John,F,Noon,Tuesday,January,2020,0
1865124,78.01,46,69775.75,171.23,product_25,Antarctica (the territory South of 60 deg S),New Theresa,F,Morning,Friday,July,2020,0
7284175,75.83,46,52530.1,217.1,product_9,Antarctica (the territory South of 60 deg S),New Theresa,F,Mid-Night,Friday,June,2020,0
1250133,79.72,29,63107.88,222.77,product_27,Antigua and Barbuda,North Daniel,F,Noon,Friday,March,2020,0
4664306,70.9,37,50820.74,252.77,product_25,Antigua and Barbuda,Tracyhaven,M,Night,Friday,May,2020,0
8753681,66.88,33,67323,173.75,product_16,Antigua and Barbuda,Port Destiny,F,Early-Morning,Sunday,July,2020,1
5371487,46.66,45,49101.67,118.16,product_8,Antigua and Barbuda,Wrightview,F,Mid-Night,Wednesday,March,2020,1
3534956,81.98,53,64698.58,216.49,product_30,Antigua and Barbuda,South Johnnymouth,M,Evening,Thursday,January,2020,0
8862945,83.91,19,63580.22,247.01,product_12,Antigua and Barbuda,Wrightview,F,Evening,Thursday,January,2020,0
3258152,82.79,25,70492.6,207.44,product_8,Antigua and Barbuda,Tracyhaven,M,Morning,Tuesday,April,2020,0
7228825,79.81,24,56194.56,178.85,product_17,Antigua and Barbuda,North Daniel,M,Noon,Tuesday,May,2020,1
8053485,86.69,36,61771.9,199.08,product_18,Antigua and Barbuda,Port Destiny,F,Mid-Night,Tuesday,May,2020,0
4290020,56.2,36,50334,128.37,product_18,Antigua and Barbuda,South Johnnymouth,M,Mid-Night,Monday,April,2020,1
7770709,56.56,50,58633.63,225.02,product_2,Antigua and Barbuda,South Johnnymouth,F,Noon,Friday,July,2020,0
2034870,69.78,48,75524.78,161.42,product_5,Antigua and Barbuda,Port Destiny,M,Mid-Night,Monday,March,2020,0
7963914,76.44,31,40345.49,224.9,product_8,Antigua and Barbuda,North Daniel,F,Evening,Monday,March,2020,0
5344898,55.04,56,72802,170.04,product_24,Antigua and Barbuda,Wrightview,F,Night,Thursday,April,2020,1
3887277,78.96,33,65963,181.02,product_14,Antigua and Barbuda,North Daniel,M,Noon,Tuesday,June,2020,1
8737712,71.14,32,63109.74,241.38,product_14,Antigua and Barbuda,Tracyhaven,F,Morning,Sunday,June,2020,1
2089761,81.46,53,57032.36,169.1,product_30,Antigua and Barbuda,Tracyhaven,M,Noon,Monday,July,2020,0
2641833,79.72,50,56729.78,250.35,product_11,Antigua and Barbuda,Tracyhaven,F,Noon,Wednesday,July,2020,0
3193920,66.4,40,77567.85,214.42,product_20,Antigua and Barbuda,Port Destiny,F,Mid-Night,Sunday,June,2020,0
4743345,37.05,39,49742.83,142.81,product_28,Antigua and Barbuda,Tracyhaven,M,Early-Morning,Wednesday,February,2020,1
8316848,73.89,31,62927.96,156.48,product_24,Antigua and Barbuda,Tracyhaven,M,Mid-Night,Tuesday,March,2020,0
7607146,81.58,22,66217.31,202.16,product_26,Antigua and Barbuda,Port Destiny,M,Mid-Night,Wednesday,July,2020,0
4523952,50.18,22,59420,140.39,product_27,Antigua and Barbuda,Port Destiny,F,Night,Sunday,March,2020,1
1220678,78.41,47,63976.44,235.29,product_2,Antigua and Barbuda,Wrightview,M,Morning,Sunday,June,2020,0
8703107,86.06,30,37908.29,235.97,product_4,Antigua and Barbuda,Wrightview,F,Night,Friday,May,2020,0
5212353,69.15,30,43662,109.22,product_8,Antigua and Barbuda,Port Destiny,M,Night,Monday,February,2020,1
8138392,75.15,20,62589.84,233.61,product_1,Antigua and Barbuda,Port Destiny,F,Night,Tuesday,April,2020,0
